fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
28,HOTEL RURAL FINCA SALAMANCA,ALOJAMIENTOS,H0,5510_L4,Hotel Rural,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38020",Güimar,CARRETERA GÜIMAR PUERTITO KM 1.5,20,32,-16.401871,28.312198,eth34f0d88,362556.2,3132584.5
29,APARTAMENTOS LOS TELARES,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,"38021",Hermigua,"CALLE EL CONVENTO, S/N",22,45,-17.198,28.151638,et5b0sug1t,284160.79,3115954.2
30,APARTAMENTOS CASA DIVERSA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,"38021",Hermigua,"LAS NUEVITAS, 42",10,20,-17.187149,28.16837,et5b0zuswk,285260.05,3117789.23
31,APARTAMENTOS PLAYA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,"38021",Hermigua,"PLAYA SANTA CATALINA, 22",4,8,-17.182975,28.177761,et5b2cxere,285688.71,3118822.58
32,FINCA PIŃERO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,"38021",Hermigua,C/ PATRONATO CTRA. GENERAL KM.20,9,22,-17.19821,28.154252,et5b0tkdks,284145.41,3116244.26
33,HOTEL AGUERE,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"CALLE OBISPO REY REDONDO, 55",23,38,-16.318357,28.489485,eth6hdm768,370960.02,3152135.29
34,LA LAGUNA NIVARIA HOTEL Y SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"PLAZA DEL ADELANTADO, 11",79,160,-16.313077,28.486649,eth6hcc4vb,371473.44,3151815.4
35,APARTAMENTOS MARINA BAYVIEW,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,"35012",Mogán,"AVENIDA GUAYADEQUE, 3 BARRANCO AGUA LA PERRA",113,226,-15.709333,27.784179,esuy49byd4,430117.11,3073496.8
36,HOSTAL BERLIN,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"CALLE MARCELINO PERDOMO REYES, 1 - BARRIO DEL COROMOTO",20,25,-16.324101,28.483911,eth6h934uc,370390.93,3151523.88
37,HOTEL OCEANO HEALTH AND SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"CALLE OCEANO PACIFICO, 1",94,194,-16.330994,28.566686,eth6s2kjh2,369817.91,3160702.81
